SupplierName,CategorySupplied
Brookside Dairy Ltd,Dairy
Sameer Agriculture,Dairy
New KCC,Dairy
Kinangop Dairy,Dairy
Githunguri Dairy,Dairy
Happy Cow Ltd,Dairy
Delamere Dairy,Dairy
Lato Milk,Dairy
Upfield Kenya,Dairy
Unga Group,Grocery
Capwell Industries,Grocery
Pembe Flour Mills,Grocery
West Kenya Sugar,Grocery
Mumias Sugar,Grocery
Raha Premium,Grocery
Bidco Africa,Grocery
Kapa Oil Refineries,Grocery
Rina Industries,Grocery
Kasuku Foods,Grocery
Exe Consumer Brands,Grocery
Crown Foods,Grocery
Top Fry Ltd,Grocery
Rift Valley Products,Grocery
Ken Salt Ltd,Grocery
Coca-Cola Beverages Kenya,Beverages
Varun Beverages Kenya,Beverages
Red Bull Kenya,Beverages
Monster Energy Kenya,Beverages
Del Monte Kenya,Juices
Kevian Kenya,Juices
Keringet Mineral Water,Water
Aquamist Ltd,Water
Highlands Drinks Ltd,Water
Ketepa Ltd,Tea & Coffee
Gold Crown Foods,Tea & Coffee
Nestlé Kenya,Tea & Coffee
Dormans Coffee,Tea & Coffee
Java House Coffee,Tea & Coffee
Mini Bakeries,Bakery
Broadways Bakery,Bakery
Farmer's Choice,Meat & Poultry
Kenchic Ltd,Meat & Poultry
Brade Gate Poultry,Meat & Poultry
Victory Farms,Fish & Seafood
Sea Harvest Kenya,Fish & Seafood
Big Cold Ltd,Frozen Foods
Tropical Heat Ltd,Snacks
Propack Kenya,Snacks
Kenafric Industries,Confectionery
Perfetti Van Melle,Confectionery
Wrigley East Africa,Confectionery
Cadbury Kenya,Confectionery
Reckitt Benckiser,Cleaning Supplies
PZ Cussons,Multiple
Colgate Palmolive,Personal Care
GlaxoSmithKline Kenya,Health & Pharmacy
Procter & Gamble Kenya,Personal Care
Johnson & Johnson Kenya,Baby Care
Nivea Kenya,Personal Care
Unilever Kenya,Cleaning Supplies
Pwani Oil Products,Laundry
Pyrex Kenya,Kitchenware
Tefal Kenya,Kitchenware
Prestige Kenya,Kitchenware
Luminarc Kenya,Kitchenware
Royalford Kenya,Kitchenware
Samsung Electronics Kenya,Electronics
LG Electronics Kenya,Electronics
Sony Kenya,Electronics
Philips Kenya,Electronics
Ramtons Ltd,Electronics
Von Hotpoint,Electronics
BIC Kenya,Stationery
Casio Kenya,Stationery
Office Point Kenya,Stationery
Text Book Centre,Stationery
Pedigree Kenya,Pet Care
Whiskas Kenya,Pet Care
Purina Kenya,Pet Care
SmartHeart Kenya,Pet Care
Fresh Harvest Suppliers,Fresh Produce
Green Farm Kenya,Fresh Produce
Nature Fresh Ltd,Fresh Produce
Farm Choice Kenya,Fresh Produce
Organic Select Kenya,Fresh Produces
